"Species","Virus.name.abbreviations","Genome.coverage"
"Pelargonium ringspot virus","PelRSV","Complete genome"
"Rosa rugosa leaf distortion virus","RrLDV","Complete genome"
"Artichoke mottled crinkle virus","AMCV","Complete genome"
"Carnation Italian ringspot virus","CIRV","Complete genome"
"Cucumber Bulgarian latent virus","CBLV-Bulgaria","Complete genome"
"Cucumber necrosis virus","CNV","Complete genome"
"Cymbidium ringspot virus","CyRV","Complete genome"
"Eggplant mottled crinkle virus","EMCV","Complete genome"
"Eggplant mottled crinkle virus","PLV","Complete genome"
"Eggplant mottled crinkle virus","LNV","Complete genome"
"Eggplant mottled crinkle virus","LNV","Complete genome"
"Grapevine Algerian latent virus","GALV","Complete genome"
"Havel River virus","HRV","Partial genome"
"Lato River virus","LRV","No entry in Genbank"
"Limonium flower distortion virus","LFDV","Partial genome"
"Moroccan pepper virus","MPV","Complete genome"
"Moroccan pepper virus","LNSV","Complete genome"
"Neckar River virus","NRV","Partial genome"
"Pelargonium leaf curl virus","PLCV","Complete genome"
"Pelargonium necrotic spot virus","PNSV","Complete genome"
"Petunia asteroid mosaic virus","PAMV","Partial genome"
"Sikte waterborne virus","SWBV","Partial genome"
"Tomato bushy stunt virus","TBSV","Complete genome"
"Tralespevirus gompholobii","GomVA","Complete coding genome"
"Tralespevirus lespedezae","TLV1","Complete genome"
"Maize necrotic streak virus","MNeSV","Complete genome"
"Ahlum waterborne virus","AWBV","No entry in Genbank"
"Bean mild mosaic virus","BMMV","No entry in Genbank"
"Chenopodium necrosis virus","ChNV","No entry in Genbank"
"Cucumber soil-borne virus","CSBV","No entry in Genbank"
"Weddel waterborne virus","WWBV","No entry in Genbank"
"Carnation ringspot virus","CRSV","Complete genome"
"Red clover necrotic mosaic virus","RCNMV","Complete genome"
"Sweet clover necrotic mosaic virus","SCNMV","Complete genome"
"Apple associated luteovirus","AaLV","Complete genome"
"Apple luteovirus 1","ALV1","Complete genome"
"Barley yellow dwarf virus kerII","BYDVkerII","Complete genome"
"Barley yellow dwarf virus kerIII","BYDVkerIII","Partial genome"
"Barley yellow dwarf virus MAV","BYDVPMAV","Complete genome"
"Barley yellow dwarf virus PAS","BYDVPAS","Complete genome"
"Barley yellow dwarf virus PAV","BYDVPAV","Complete genome"
"Bean leafroll virus","BLRV","Complete genome"
"Cherry associated luteovirus","ChaLV","Complete genome"
"Nectarine stem pitting associated virus","NSPaV","Complete genome"
"Red clover associated luteovirus","RCaV","Complete genome"
"Rose spring dwarf-associated virus","RSDaV","Complete genome"
"Soybean dwarf virus","SbDV","Complete genome"
"Saccharomyces 20S RNA narnavirus","ScNV20S","Complete genome"
"Saccharomyces 23S RNA narnavirus","ScNV23S","Complete genome"
"Duamitovirus alal1","AaMV1","Complete coding genome"
"Duamitovirus azfi1","AzfiMV1","Complete coding genome"
"Duamitovirus bevu1","BevuMV1","Complete coding genome"
"Duamitovirus boci1","BcMV-1","Complete genome"
"Duamitovirus boci3","BcMV-3","Complete coding genome"
"Duamitovirus bodo1","BdMV1","Complete genome"
"Duamitovirus busp1","BsMV1","Complete genome"
"Duamitovirus casa1","CasaMV1","Complete coding genome"
"Duamitovirus cesp1","CbMV1","Complete coding genome"
"Duamitovirus chqu1","CqMV1","Complete genome"
"Duamitovirus clod1","COV","Complete genome"
"Duamitovirus crpa1","CMV1","Complete genome"
"Duamitovirus dapi1","DapiMV1","Complete coding genome"
"Duamitovirus epni1","EnMV1","Complete coding genome"
"Duamitovirus fubo1","FbMV1","Complete genome"
"Duamitovirus fupo3","FpMV3","Complete coding genome"
"Duamitovirus fupo4","FpMV4","Complete coding genome"
"Duamitovirus gima1","GmMV1","Complete coding genome"
"Duamitovirus gima2","GmMV2","Complete coding genome"
"Duamitovirus gima3","GmMV3","Complete coding genome"
"Duamitovirus gima4","GmMV4","Complete coding genome"
"Duamitovirus hean1","HetMV1-an1","Complete genome"
"Duamitovirus hean3","HetMV3-an1","Complete genome"
"Duamitovirus hepa3","HetMV3-pa1","Complete coding genome"
"Duamitovirus hulu1","HuluMV1","Complete coding genome"
"Duamitovirus nepa1","NpMV1","Complete coding genome"
"Duamitovirus nior1","NoMV1","Complete genome"
"Duamitovirus opno1a","OMV1a","Complete genome"
"Duamitovirus opno1b","OMV1b","Complete genome"
"Duamitovirus opno1c","OMV1c","Complete genome"
"Duamitovirus opno3a","OMV3a","Complete genome"
"Duamitovirus opno3b","OMV3b","Complete genome"
"Duamitovirus oxru1","OxruMV1","Complete coding genome"
"Duamitovirus peex1","PeexMV1","Complete coding genome"
"Duamitovirus rhce1","RcMV1","Complete genome"
"Duamitovirus rhir1","RirMV1","Complete genome"
"Duamitovirus rhso21","RsMV21","Complete coding genome"
"Duamitovirus rhso25","RsMV25","Complete coding genome"
"Duamitovirus rhso26","RsMV26","Complete coding genome"
"Duamitovirus rhso27","RsMV27","Complete coding genome"
"Duamitovirus rhso31","RsMV31","Complete coding genome"
"Duamitovirus rhso32","RsMV32","Complete coding genome"
"Duamitovirus rhso34","RsMV34","Complete coding genome"
"Duamitovirus scho1","L-dsRNA","Complete genome"
"Duamitovirus scni2","SsSn-1.m2","Complete genome"
"Duamitovirus scsc3","SsMV2/NZ1","Complete genome"
"Duamitovirus scsc6","SsMV6","Complete genome"
"Duamitovirus soch1","SochMV1","Complete coding genome"
"Duamitovirus tuae1","TaMV","Complete genome"
"Kvaramitovirus opno7","OnuMV7","Complete genome"
"Triamitovirus cespA","CbMV1","Complete coding genome"
"Triamitovirus gesu1","GsMV1","Complete genome"
"Triamitovirus rhcl1","RcMV1","Complete genome"
"Triamitovirus rhor1","RoMV1","Complete genome"
"Triamitovirus rhso1","RMV-1-RS002","Complete genome"
"Triamitovirus rhso23","RsMV23","Complete coding genome"
"Triamitovirus rhso30","RsMV30","Complete coding genome"
"Triamitovirus rhso39","RsMV39","Complete genome"
"Triamitovirus tuex1","TeMV","Complete genome"
"Unuamitovirus agbi1","AbMV1","Complete coding genome"
"Unuamitovirus alar1","AaMV1","Complete genome"
"Unuamitovirus albr1","AbMV1","Complete genome"
"Unuamitovirus boci2","BcMV-2","Complete coding genome"
"Unuamitovirus boci4","BcMV-4","Complete coding genome"
"Unuamitovirus crri1","CrMV1","Complete genome"
"Unuamitovirus crri2","CrMV2","Complete genome"
"Unuamitovirus crri3","CrMV3","Complete genome"
"Unuamitovirus crri4","CrMV4","Complete genome"
"Unuamitovirus crri5","CrMV5","Complete genome"
"Unuamitovirus diru1","DrMV1","Complete coding genome"
"Unuamitovirus enmu1","EnmuMV1","Complete coding genome"
"Unuamitovirus enmu2","EnmuMV2","Complete coding genome"
"Unuamitovirus enmu3","EnmuMV3","Complete coding genome"
"Unuamitovirus enmu4","EnmuMV4","Complete coding genome"
"Unuamitovirus enmu5","EnmuMV5","Complete coding genome"
"Unuamitovirus enmu6","EnmuMV6","Complete coding genome"
"Unuamitovirus enmu7","EnmuMV7","Complete coding genome"
"Unuamitovirus enmu8","EnmuMV8","Complete coding genome"
"Unuamitovirus fuan1","FaMV1","Complete coding genome"
"Unuamitovirus fuci1","FcMV1","Complete genome"
"Unuamitovirus fuci2","FcMV2-1","Complete genome"
"Unuamitovirus fuco1","FcoMV1","Complete genome"
"Unuamitovirus fugl1","FgMV1","Complete genome"
"Unuamitovirus fuox1","FodMV1","Complete genome"
"Unuamitovirus fupo1","FpMV1","Complete coding genome"
"Unuamitovirus fupo2","FpMV2","Complete coding genome"
"Unuamitovirus fuve1","FvMV1","Complete coding genome"
"Unuamitovirus grab1","GaMRV-S1","Complete genome"
"Unuamitovirus grab2","GMV2","Complete genome"
"Unuamitovirus hean2","HetMV2","Complete genome"
"Unuamitovirus hemo1","HmMV1-18","Complete genome"
"Unuamitovirus hyal1","HfMV1","Complete coding genome"
"Unuamitovirus hyfr1","HfMV1","Complete coding genome"
"Unuamitovirus lebi1","LbMV1","Complete genome"
"Unuamitovirus nior2","NoMV2","Complete genome"
"Unuamitovirus opno4","OMV4","Complete genome"
"Unuamitovirus opno5","OMV5","Complete genome"
"Unuamitovirus opno6","OMV6","Complete genome"
"Unuamitovirus pust1","PsMV1","Complete genome"
"Unuamitovirus scni1","SnMV1","Complete genome"
"Unuamitovirus scsc1","SsMV1","Complete genome"
"Unuamitovirus scsc2","SsMV2","Complete genome"
"Unuamitovirus scsc4","SsMV4","Complete genome"
"Unuamitovirus scsc7","SsMV7","Complete genome"
"Unuamitovirus thba1","CeMV","Complete genome"
"Andhevirus chorohabitans",NA,"Complete coding genome"
"Apihcavirus arvenecus",NA,"Complete coding genome"
"Apihcavirus borborovicinum",NA,"Complete coding genome"
"Arihsbuvirus caenadaptatum",NA,"Complete coding genome"
"Bahdevuvirus caenivivens",NA,"Complete coding genome"
"Bahdevuvirus limadaptatum",NA,"Complete coding genome"
"Bilifuvirus defluviicola",NA,"Complete coding genome"
"Blinduvirus asiadaptatum",NA,"Complete coding genome"
"Blinduvirus terrihabitans",NA,"Complete coding genome"
"Cahtebovirus humivicinum",NA,"Complete coding genome"
"Chinihovirus lutihabitans",NA,"Complete coding genome"
"Chounavirus chorenecus",NA,"Complete coding genome"
"Cihsnivirus pelenecus",NA,"Complete coding genome"
"Diydovirus borborovicinum",NA,"Complete coding genome"
"Dugnivirus chthonadaptatum",NA,"Complete coding genome"
"Dugnivirus solivicinum",NA,"Complete coding genome"
"Dugnivirus solivivens",NA,"Complete coding genome"
"Firunevirus limicola",NA,"Complete coding genome"
"Gohshovirus asiadaptatum",NA,"Complete coding genome"
"Hehspivirus edaphadaptatum",NA,"Complete coding genome"
"Helacdivirus borborovicinum",NA,"Complete coding genome"
"Hirvovirus caenivicinum",NA,"Complete coding genome"
"Huhmpluvirus limenecus",NA,"Complete coding genome"
"Huleruivirus geocola",NA,"Complete coding genome"
"Hysdruvirus geovivens",NA,"Complete coding genome"
"Hysdruvirus telluradaptatum",NA,"Complete coding genome"
"Hysdruvirus tellurenecus",NA,"Complete coding genome"
"Hysdruvirus telluricola",NA,"Complete coding genome"
"Hysdruvirus tellurihabitans",NA,"Complete coding genome"
"Hysdruvirus tellurivicinum",NA,"Complete coding genome"
"Ichonovirus limivicinum",NA,"Complete coding genome"
"Ipivevirus pelenecus",NA,"Complete coding genome"
"Isoihlovirus terrihabitans",NA,"Complete coding genome"
"Kempsvovirus caenivivens",NA,"Complete coding genome"
"Kihrivirus limicola",NA,"Complete coding genome"
"Kimihcavirus limivivens",NA,"Complete coding genome"
"Kudohovirus pelocola",NA,"Complete coding genome"
"Kuhfotivirus pelohabitans",NA,"Complete coding genome"
"Lahcomavirus asienecus",NA,"Complete coding genome"
"Lehptevirus asiohabitans",NA,"Complete coding genome"
"Lehptevirus asiovicinum",NA,"Complete coding genome"
"Lehptevirus asiovivens",NA,"Complete coding genome"
"Lehptevirus borboradaptatum",NA,"Complete coding genome"
"Lehptevirus chorohabitans",NA,"Complete coding genome"
"Lobdovirus arvadaptatum",NA,"Complete coding genome"
"Lobdovirus arvenecus",NA,"Complete coding genome"
"Lobdovirus arvicola",NA,"Complete coding genome"
"Lobdovirus chorovicinum",NA,"Complete coding genome"
"Lobdovirus chorovivens",NA,"Complete coding genome"
"Madisduvirus caenivivens",NA,"Complete coding genome"
"Mitdiwavirus asiocola",NA,"Complete coding genome"
"Moloevirus chthonenecus",NA,"Complete coding genome"
"Monekavirus asiovivens",NA,"Complete coding genome"
"Nehujevirus caenicola",NA,"Complete coding genome"
"Neratovirus caenihabitans",NA,"Complete coding genome"
"Niginuvirus limadaptatum",NA,"Complete coding genome"
"Pagohnivirus humenecus",NA,"Complete coding genome"
"Pihngevirus agrivivens",NA,"Complete coding genome"
"Pihngevirus choradaptatum",NA,"Complete coding genome"
"Pihngevirus chorocola",NA,"Complete coding genome"
"Pohlydovirus arvivicinum",NA,"Complete coding genome"
"Pohlydovirus arvivivens",NA,"Complete coding genome"
"Psoetuvirus pedenecus",NA,"Complete coding genome"
"Qeihnovirus defluviicola",NA,"Complete coding genome"
"Qeihnovirus luticola",NA,"Complete coding genome"
"Qeihnovirus lutihabitans",NA,"Complete coding genome"
"Qeihnovirus lutivicinum",NA,"Complete coding genome"
"Qeihnovirus lutivivens",NA,"Complete coding genome"
"Qeihnovirus peladaptatum",NA,"Complete coding genome"
"Rainacovirus pelenecus",NA,"Complete coding genome"
"Rainacovirus pelocola",NA,"Complete coding genome"
"Rainacovirus pelohabitans",NA,"Complete coding genome"
"Rainacovirus pelovicinum",NA,"Complete coding genome"
"Rainacovirus tellurivicinum",NA,"Complete coding genome"
"Rainacovirus tellurivivens",NA,"Complete coding genome"
"Rainacovirus terradaptatum",NA,"Complete coding genome"
"Rainacovirus terricola",NA,"Complete coding genome"
"Scloravirus humicola",NA,"Complete coding genome"
"Sdonativirus humihabitans",NA,"Complete coding genome"
"Sdribtuvirus humivicinum",NA,"Complete coding genome"
"Shopitevirus limenecus",NA,"Complete coding genome"
"Stupavirus arvadaptatum",NA,"Complete coding genome"
"Stupavirus chorovivens",NA,"Complete coding genome"
"Tsecebavirus borborovicinum",NA,"Complete coding genome"
"Wahbolevirus lutadaptatum",NA,"Complete coding genome"
"Wecineivirus lutihabitans",NA,"Complete coding genome"
"Whodehavirus pelovicinum",NA,"Complete coding genome"
"Wulosvivirus asiocola",NA,"Complete coding genome"
"Yekorevirus terrivivens",NA,"Complete coding genome"
"Yeshinuvirus humadaptatum",NA,"Complete coding genome"
"Yeshinuvirus humicola",NA,"Complete coding genome"
"Apeevirus quebecense",NA,"Complete genome"
"Beshanovirus aquicola",NA,"Complete coding genome"
"Kahshuvirus borborenecus",NA,"Complete coding genome"
"Kohmavirus luticola",NA,"Complete coding genome"
"Samuneavirus asiocola",NA,"Complete coding genome"
"Tehuhdavirus pelovivens",NA,"Complete coding genome"
"Adahivirus asienecus",NA,"Complete coding genome"
"Aldhiuvirus defluviicola",NA,"Complete coding genome"
"Amubhivirus agrivicinum",NA,"Complete coding genome"
"Andhasavirus agrivivens",NA,"Complete coding genome"
"Andhasavirus borborocola",NA,"Complete coding genome"
"Andhaxevirus choradaptatum",NA,"Complete coding genome"
"Andhaxevirus chorenecus",NA,"Complete coding genome"
"Andhaxevirus chorocola",NA,"Complete coding genome"
"Anedhivirus chorovicinum",NA,"Complete coding genome"
"Apukhovirus arvihabitans",NA,"Complete coding genome"
"Ashucavirus caenicola",NA,"Complete coding genome"
"Ashucavirus caenihabitans",NA,"Complete coding genome"
"Ashucavirus caenivicinum",NA,"Complete coding genome"
"Bahscuvirus limivicinum",NA,"Complete coding genome"
"Bathrivirus terrenecus",NA,"Complete coding genome"
"Behevivirus limivivens",NA,"Complete coding genome"
"Behlfluvirus lutadaptatum",NA,"Complete coding genome"
"Bertavirus lutihabitans",NA,"Complete coding genome"
"Bihdovirus pelohabitans",NA,"Complete coding genome"
"Bisdanovirus hydrocola",NA,"Complete coding genome"
"Blafavirus pelovivens",NA,"Complete coding genome"
"Bohnovirus asienecus",NA,"Complete coding genome"
"Bohwovirus asiocola",NA,"Complete coding genome"
"Boloprevirus asiohabitans",NA,"Complete coding genome"
"Boloprevirus asiovicinum",NA,"Complete coding genome"
"Boloprevirus asiovivens",NA,"Complete coding genome"
"Boloprevirus borboradaptatum",NA,"Complete coding genome"
"Boschuvirus borborocola",NA,"Complete coding genome"
"Breudwovirus borborohabitans",NA,"Complete coding genome"
"Brudgevirus borborovicinum",NA,"Complete coding genome"
"Brudgevirus borborovivens",NA,"Complete coding genome"
"Brudgevirus caenadaptatum",NA,"Complete coding genome"
"Brudgevirus caenenecus",NA,"Complete coding genome"
"Brudgevirus caenicola",NA,"Complete coding genome"
"Brudgevirus defluviicola",NA,"Complete coding genome"
"Brudgevirus humadaptatum",NA,"Complete coding genome"
"Brudgevirus terrivivens",NA,"Complete coding genome"
"Buhdavirus caenihabitans",NA,"Complete coding genome"
"Cahdavirus humicola",NA,"Complete coding genome"
"Cahrpivirus caenivivens",NA,"Complete coding genome"
"Cahrpivirus humenecus",NA,"Complete coding genome"
"Caloevirus agradaptatum",NA,"Complete coding genome"
"Caloevirus humivivens",NA,"Complete coding genome"
"Cauhldivirus limadaptatum",NA,"Complete coding genome"
"Cauhldivirus limenecus",NA,"Complete coding genome"
"Cauhldivirus limicola",NA,"Complete coding genome"
"Cehakivirus limihabitans",NA,"Complete coding genome"
"Chaedoavirus insecticola",NA,"Complete coding genome"
"Chahsmivirus agrivicinum",NA,"Complete coding genome"
"Chahsmivirus agrivivens",NA,"Complete coding genome"
"Chahsmivirus choradaptatum",NA,"Complete coding genome"
"Chahsmivirus limivicinum",NA,"Complete coding genome"
"Chahsmivirus limivivens",NA,"Complete coding genome"
"Chahsmivirus lutadaptatum",NA,"Complete coding genome"
"Chihyovirus lutenecus",NA,"Complete coding genome"
"Chobevirus lutivicinum",NA,"Complete coding genome"
"Choctavirus fulminicola",NA,"Complete coding genome"
"Cintrevirus pelocola",NA,"Complete coding genome"
"Condavirus arvenecus",NA,"Complete coding genome"
"Condavirus arvicola",NA,"Complete coding genome"
"Condavirus arvihabitans",NA,"Complete coding genome"
"Condavirus arvivicinum",NA,"Complete coding genome"
"Condavirus arvivivens",NA,"Complete coding genome"
"Condavirus edaphadaptatum",NA,"Complete coding genome"
"Condavirus edaphenecus",NA,"Complete coding genome"
"Condavirus edaphocola",NA,"Complete coding genome"
"Condavirus edaphohabitans",NA,"Complete coding genome"
"Condavirus edaphovicinum",NA,"Complete coding genome"
"Creshivirus fonticola",NA,"Complete coding genome"
"Creshivirus pelohabitans",NA,"Complete coding genome"
"Cunavirus pretoriense",NA,"Complete genome"
"Dahmuvirus insecticola",NA,"Complete coding genome"
"Darnbovirus asiadaptatum",NA,"Complete coding genome"
"Decadevirus asienecus",NA,"Complete coding genome"
"Decadevirus asiocola",NA,"Complete coding genome"
"Dehcevirus asiohabitans",NA,"Complete coding genome"
"Dehcevirus asiovicinum",NA,"Complete coding genome"
"Dehcevirus soladaptatum",NA,"Complete coding genome"
"Denfovirus borborenecus",NA,"Complete coding genome"
"Depandovirus solicola",NA,"Complete coding genome"
"Dihsdivirus solenecus",NA,"Complete coding genome"
"Dohlivirus borborovivens",NA,"Complete coding genome"
"Dosmizivirus solihabitans",NA,"Complete coding genome"
"Duhcivirus defluviicola",NA,"Complete coding genome"
"Emesvirus japonicum",NA,"Complete genome"
"Emesvirus piscicola",NA,"Complete coding genome"
"Emesvirus zinderi",NA,"Complete genome"
"Empivirus allolyticum",NA,"Complete genome"
"Fagihyuvirus caenivicinum",NA,"Complete coding genome"
"Febihevirus ruminicola",NA,"Complete coding genome"
"Fiyodovirus limihabitans",NA,"Complete coding genome"
"Gahlinevirus luticola",NA,"Complete coding genome"
"Gahlovirus lutihabitans",NA,"Complete coding genome"
"Garovuvirus peladaptatum",NA,"Complete coding genome"
"Gehnevirus pelenecus",NA,"Complete coding genome"
"Glincaevirus pelovicinum",NA,"Complete coding genome"
"Glyciruvirus geovicinum",NA,"Complete coding genome"
"Glyciruvirus geovivens",NA,"Complete coding genome"
"Gmuhndevirus pelovivens",NA,"Complete coding genome"
"Gorodievirus telluradaptatum",NA,"Complete coding genome"
"Grendvuvirus asiocola",NA,"Complete coding genome"
"Gunawavirus borboradaptatum",NA,"Complete coding genome"
"Hagavirus psychrophilum",NA,"Complete genome"
"Hahdsevirus borborenecus",NA,"Complete coding genome"
"Halcalevirus arvivivens",NA,"Complete coding genome"
"Hihdivirus caenenecus",NA,"Complete coding genome"
"Hihdivirus caenicola",NA,"Complete coding genome"
"Hukohnovirus limicola",NA,"Complete coding genome"
"Icumivirus limivivens",NA,"Complete coding genome"
"Ideskevirus lutadaptatum",NA,"Complete coding genome"
"Imeberivirus lutenecus",NA,"Complete coding genome"
"Imeberivirus luticola",NA,"Complete coding genome"
"Ineyimevirus lutihabitans",NA,"Complete coding genome"
"Ineyimevirus lutivicinum",NA,"Complete coding genome"
"Iruqauvirus pelocola",NA,"Complete coding genome"
"Ishugivirus pelohabitans",NA,"Complete coding genome"
"Jiesduavirus defluviicola",NA,"Complete coding genome"
"Johnovirus asienecus",NA,"Complete coding genome"
"Jupbevirus asiocola",NA,"Complete coding genome"
"Jupbevirus asiohabitans",NA,"Complete coding genome"
"Kahfsdivirus asiovicinum",NA,"Complete coding genome"
"Keghovirus borborovivens",NA,"Complete coding genome"
"Keghovirus caenadaptatum",NA,"Complete coding genome"
"Kehmevirus caenenecus",NA,"Complete coding genome"
"Kemicevirus caenicola",NA,"Complete coding genome"
"Kemicevirus caenihabitans",NA,"Complete coding genome"
"Kenamavirus limadaptatum",NA,"Complete coding genome"
"Kihryuvirus limihabitans",NA,"Complete coding genome"
"Kirnavirus lutenecus",NA,"Complete coding genome"
"Kiwsmaevirus defluviicola",NA,"Complete coding genome"
"Konkivirus lutihabitans",NA,"Complete coding genome"
"Kowinovirus pelenecus",NA,"Complete coding genome"
"Kuhshuvirus pelovicinum",NA,"Complete coding genome"
"Lohmavirus borborovivens",NA,"Complete coding genome"
"Loslovirus caenicola",NA,"Complete coding genome"
"Lulohlevirus edaphohabitans",NA,"Complete coding genome"
"Luthavirus edaphovicinum",NA,"Complete coding genome"
"Luthavirus edaphovivens",NA,"Complete coding genome"
"Luthavirus pedadaptatum",NA,"Complete coding genome"
"Mahqeavirus limicola",NA,"Complete coding genome"
"Mahqeavirus limihabitans",NA,"Complete coding genome"
"Mahraivirus limivicinum",NA,"Complete coding genome"
"Manohtivirus pedenecus",NA,"Complete coding genome"
"Manrohovirus lutadaptatum",NA,"Complete coding genome"
"Martavirus lutenecus",NA,"Complete coding genome"
"Meblowovirus defluviicola",NA,"Complete coding genome"
"Mehraxmevirus pedohabitans",NA,"Complete coding genome"
"Mekintivirus lutihabitans",NA,"Complete coding genome"
"Methovirus lutivicinum",NA,"Complete coding genome"
"Mihkrovirus pedovicinum",NA,"Complete coding genome"
"Mihkrovirus pedovivens",NA,"Complete coding genome"
"Mihkrovirus peladaptatum",NA,"Complete coding genome"
"Mihkrovirus pelenecus",NA,"Complete coding genome"
"Mihkrovirus pelocola",NA,"Complete coding genome"
"Mihkrovirus soladaptatum",NA,"Complete coding genome"
"Mihkrovirus solenecus",NA,"Complete coding genome"
"Mihkrovirus solicola",NA,"Complete coding genome"
"Mintuvirus asiadaptatum",NA,"Complete coding genome"
"Mintuvirus asienecus",NA,"Complete coding genome"
"Mintuvirus pelovivens",NA,"Complete coding genome"
"Monamovirus asiohabitans",NA,"Complete coding genome"
"Monamovirus asiovicinum",NA,"Complete coding genome"
"Mucrahivirus borboradaptatum",NA,"Complete coding genome"
"Mucrahivirus geocola",NA,"Complete coding genome"
"Mucrahivirus geoenecus",NA,"Complete coding genome"
"Mucrahivirus geohabitans",NA,"Complete coding genome"
"Mucrahivirus geovicinum",NA,"Complete coding genome"
"Mucrahivirus geovivens",NA,"Complete coding genome"
"Muyegivirus borborenecus",NA,"Complete coding genome"
"Nadsecevirus borborocola",NA,"Complete coding genome"
"Nahjiuvirus borborohabitans",NA,"Complete coding genome"
"Nahjiuvirus borborovicinum",NA,"Complete coding genome"
"Nahrudavirus borborovivens",NA,"Complete coding genome"
"Nahsuvirus caenadaptatum",NA,"Complete coding genome"
"Nahsuvirus telluradaptatum",NA,"Complete coding genome"
"Nahsuvirus telluricola",NA,"Complete coding genome"
"Niankuvirus caenivicinum",NA,"Complete coding genome"
"Nihucivirus limihabitans",NA,"Complete coding genome"
"Niuhvovirus limivicinum",NA,"Complete coding genome"
"Niuhvovirus limivivens",NA,"Complete coding genome"
"Noehsivirus tellurivicinum",NA,"Complete coding genome"
"Noehsivirus tellurivivens",NA,"Complete coding genome"
"Nuihimevirus lutadaptatum",NA,"Complete coding genome"
"Oceshuvirus lutenecus",NA,"Complete coding genome"
"Olmsdivirus lutivivens",NA,"Complete coding genome"
"Omohevirus peladaptatum",NA,"Complete coding genome"
"Onohmuvirus pelenecus",NA,"Complete coding genome"
"Opdykovirus pelocola",NA,"Complete coding genome"
"Osigowavirus insecticola",NA,"Complete coding genome"
"Owenocuvirus pelohabitans",NA,"Complete coding genome"
"Oxychlovirus humadaptatum",NA,"Complete coding genome"
"Oxychlovirus terrenecus",NA,"Complete coding genome"
"Oxychlovirus terricola",NA,"Complete coding genome"
"Oxychlovirus terrihabitans",NA,"Complete coding genome"
"Oxychlovirus terrivicinum",NA,"Complete coding genome"
"Oxychlovirus terrivivens",NA,"Complete coding genome"
"Palsdevirus asienecus",NA,"Complete coding genome"
"Paysduvirus asiocola",NA,"Complete coding genome"
"Pehohrivirus asiohabitans",NA,"Complete coding genome"
"Pehohrivirus asiovicinum",NA,"Complete coding genome"
"Pehsaduvirus asiovivens",NA,"Complete coding genome"
"Pepevirus rubrum",NA,"Complete genome"
"Pepevirus spumicola",NA,"Complete coding genome"
"Perrunavirus olsenii",NA,"Complete genome"
"Philtcovirus borboradaptatum",NA,"Complete coding genome"
"Phobpsivirus agradaptatum",NA,"Complete coding genome"
"Phobpsivirus agricola",NA,"Complete coding genome"
"Phulivirus agrihabitans",NA,"Complete coding genome"
"Phulivirus agrivicinum",NA,"Complete coding genome"
"Phulivirus tegeticola",NA,"Complete coding genome"
"Piponevirus borborenecus",NA,"Complete coding genome"
"Piponevirus borborocola",NA,"Complete coding genome"
"Pipunevirus borborohabitans",NA,"Complete coding genome"
"Pipunevirus borborovicinum",NA,"Complete coding genome"
"Pipunevirus borborovivens",NA,"Complete coding genome"
"Pipunevirus caenadaptatum",NA,"Complete coding genome"
"Pohlevirus arvadaptatum",NA,"Complete coding genome"
"Pohlevirus arvenecus",NA,"Complete coding genome"
"Pohlevirus arvicola",NA,"Complete coding genome"
"Pohlevirus caenicola",NA,"Complete coding genome"
"Pohlevirus chorovivens",NA,"Complete coding genome"
"Pohtamavirus caenihabitans",NA,"Complete coding genome"
"Poncivirus insecticola",NA,"Complete coding genome"
"Psehatovirus edaphadaptatum",NA,"Complete coding genome"
"Psehatovirus edaphenecus",NA,"Complete coding genome"
"Psehatovirus edaphocola",NA,"Complete coding genome"
"Psehatovirus edaphohabitans",NA,"Complete coding genome"
"Psehatovirus edaphovicinum",NA,"Complete coding genome"
"Psehatovirus edaphovivens",NA,"Complete coding genome"
"Psimevirus caenivicinum",NA,"Complete coding genome"
"Psimevirus pedocola",NA,"Complete coding genome"
"Pudlivirus limivicinum",NA,"Complete coding genome"
"Qubevirus durum",NA,"Complete genome"
"Qubevirus faecium",NA,"Complete genome"
"Radbaivirus tellurenecus",NA,"Complete coding genome"
"Radbaivirus telluricola",NA,"Complete coding genome"
"Radbaivirus tellurihabitans",NA,"Complete coding genome"
"Rehihmevirus terrenecus",NA,"Complete coding genome"
"Rehudzovirus terrihabitans",NA,"Complete coding genome"
"Rusvolovirus asiadaptatum",NA,"Complete coding genome"
"Rusvolovirus asienecus",NA,"Complete coding genome"
"Scuadavirus asiohabitans",NA,"Complete coding genome"
"Sehcovirus asiovivens",NA,"Complete coding genome"
"Sehcovirus humivivens",NA,"Complete coding genome"
"Sehpovirus borboradaptatum",NA,"Complete coding genome"
"Seybrovirus borborohabitans",NA,"Complete coding genome"
"Shebanavirus borborovicinum",NA,"Complete coding genome"
"Shihovirus caenadaptatum",NA,"Complete coding genome"
"Sholavirus caenicola",NA,"Complete coding genome"
"Sholavirus caenihabitans",NA,"Complete coding genome"
"Sholavirus caenivicinum",NA,"Complete coding genome"
"Sholavirus caenivivens",NA,"Complete coding genome"
"Shomudavirus limadaptatum",NA,"Complete coding genome"
"Shuravirus limicola",NA,"Complete coding genome"
"Shuravirus limihabitans",NA,"Complete coding genome"
"Sincthavirus limivicinum",NA,"Complete coding genome"
"Skhembuvirus limivivens",NA,"Complete coding genome"
"Smudhfivirus lutadaptatum",NA,"Complete coding genome"
"Soetuvirus lutenecus",NA,"Complete coding genome"
